predicted,predictor,model,roi_type,fa_type,spillover,fold,rsquared_train,delta_rsquared_train,rsquared_test,delta_rsquared_test,loglik_train,delta_loglik_train,loglik_test,delta_loglik_test
DwellTime,SurprisalTrailingSpanning4,gpt2_k5,Trailing,Spanning4,True,0_5,0.5077091977567579,0.017321297063929708,0.5281036843778759,0.023362578037911197,-5.318701023501461,0.01729012168764754,-5.32963810222257,0.024160676087669586
DwellTime,SurprisalTrailingSpanning5,gpt2_k5,Trailing,Spanning5,True,0_5,0.5051446984107837,0.014756797717955461,0.5226416933151141,0.017900586975149402,-5.321298921730861,0.01469222345824761,-5.335392144620295,0.018406633689944663
DwellTime,SurprisalTrailingSpanning6,gpt2_k5,Trailing,Spanning6,True,0_5,0.503751467427032,0.013363566734203802,0.5157979490462812,0.011056842706316461,-5.322704659306934,0.013286485882174404,-5.342509596767553,0.011289181542686322
DwellTime,SurprisalTrailingSpanning7,gpt2_k5,Trailing,Spanning7,True,0_5,0.5017678414980108,0.011379940805182565,0.5112658269142158,0.0065247205742511305,-5.324699296887626,0.011291848301482332,-5.347167820812412,0.0066309574978280494
DwellTime,SurprisalTrailingSpanningWhole,gpt2_k5,Trailing,SpanningWhole,True,0_5,0.5061235000739901,0.01573559938116187,0.5283638247388116,0.023622718398846887,-5.32030896471577,0.01568218047333847,-5.3293623932564875,0.02443638505375212
DwellTime,SurprisalLeadingAndTrailingDynamic7,gpt2_k5,LeadingAndTrailing,Dynamic7,True,0_5,0.5102459412331914,0.01985804054036322,0.5316755396121198,0.026934433272155056,-5.316117893932399,0.019873251256709246,-5.3258391302060035,0.027959648104236123
DwellTime,SurprisalLeadingAndTrailingDynamic8,gpt2_k5,LeadingAndTrailing,Dynamic8,True,0_5,0.5150578248893183,0.024669924196490056,0.5429995498562676,0.03825844351630292,-5.311181050451079,0.02481009473802942,-5.313600644586847,0.04019813372339254
DwellTime,SurprisalLeadingAndTrailingFixed,gpt2_k5,LeadingAndTrailing,Fixed,True,0_5,0.5057824730554877,0.015394572362659509,0.5212442466276065,0.01650314028764177,-5.32065410093031,0.015337044258799004,-5.336853735596711,0.01694504271352848
DwellTime,SurprisalLeadingAndTrailingWhole,gpt2_k5,LeadingAndTrailing,Whole,True,0_5,0.520940507820284,0.030552607127455778,0.5484518486377574,0.043710742297792704,-5.305078617070002,0.030912528119106497,-5.307599463994383,0.046199314315856554
DwellTime,SurprisalLeadingAndTrailingSpanning3,gpt2_k5,LeadingAndTrailing,Spanning3,True,0_5,0.5093804799728492,0.01899257928002096,0.5360837280920314,0.0313426217520667,-5.317000681375763,0.01899046381334557,-5.321110500376006,0.032688277934233234
