StimulusID,ContextLength,Region,RegionLength,SubtlexLogFreq,WordFreq,WordFreqLog,WordFreqZipf,PunctOrClitic,FirstFixationDuration,FirstPassDuration,RightBoundedDuration,GoPastDuration
179,4,someone,7,10.032408332602968,0.000427,-7.75872631054364,5.63,False,133.14285714285714,143.04761904761904,156.38095238095238,260.85714285714283
179,5,to,2,13.96096928627544,0.0269,-3.6156289886568715,7.43,False,47.333333333333336,47.333333333333336,47.333333333333336,47.333333333333336
179,6,take,4,11.476707439235586,0.000832,-7.091677996950765,5.92,False,142.0,151.8095238095238,154.76190476190476,176.0952380952381
179,7,the,3,14.222246857765809,0.0537,-2.9243422756051207,7.73,False,80.66666666666667,80.66666666666667,80.66666666666667,97.04761904761904
179,8,spare,5,7.360739903058278,1.91e-05,-10.865816987323301,4.28,False,168.0952380952381,203.7142857142857,209.42857142857144,225.9047619047619
179,9,room,4,10.01748565658954,0.000245,-8.314251939256366,5.39,False,89.80952380952381,101.04761904761904,101.04761904761904,104.38095238095238
179,10,in,2,13.119246525062724,0.0186,-3.9845936928866372,7.27,False,89.80952380952381,93.23809523809524,93.23809523809524,105.71428571428572
179,11,his,3,11.593251209508129,0.00324,-5.732181918313702,6.51,False,173.14285714285714,197.6190476190476,211.8095238095238,320.1904761904762
179,12,flat.,5,7.198183577101943,5.25e-05,-9.854695483606605,4.72,True,176.28571428571428,220.95238095238096,232.28571428571428,500.2857142857143
180,1,the,3,14.222246857765809,0.0537,-2.9243422756051207,7.73,False,124.1904761904762,134.85714285714286,134.85714285714286,153.61904761904762
180,2,moment,6,9.163143937145207,0.000174,-8.656454684037266,5.24,False,141.33333333333334,158.1904761904762,162.47619047619048,179.71428571428572
180,3,we,2,13.038127055476089,0.00347,-5.663600656204926,6.54,False,58.285714285714285,60.47619047619048,60.47619047619048,62.66666666666666
180,4,leave,5,10.261022126886742,0.000219,-8.426438371526872,5.34,False,147.71428571428572,162.28571428571428,173.04761904761904,203.04761904761904
180,5,this,4,12.91635959740469,0.00661,-5.019171609989949,6.82,False,133.42857142857142,150.47619047619048,164.0952380952381,198.28571428571428
180,6,spot,4,8.051978078902298,7.76e-05,-9.463941842116137,4.89,False,178.95238095238096,194.8571428571429,194.8571428571429,234.7619047619048
180,7,be,2,12.58821794831672,0.00617,-5.088056424857386,6.79,False,46.85714285714285,46.85714285714285,46.85714285714285,54.285714285714285
180,8,very,4,11.055703797289029,0.001,-6.907755178982142,6.0,False,164.85714285714286,213.04761904761904,213.04761904761904,223.04761904761904
180,9,careful,7,8.62155320674048,3.89e-05,-10.15451373664909,4.59,False,169.42857142857142,192.57142857142856,202.1904761904762,287.23809523809524
180,10,what,4,,0.0024,-6.032286499961572,6.38,False,92.57142857142856,109.04761904761904,113.42857142857144,165.14285714285714
180,11,you,3,14.573842769379338,0.00955,-4.651214114018294,6.98,False,167.9047619047619,199.42857142857144,227.04761904761904,381.5238095238095
180,12,say.,4,11.334145628872538,0.000776,-7.161357908915084,5.89,True,96.76190476190476,113.33333333333331,140.28571428571428,372.8571428571428
181,1,knocked,7,7.139660335964919,1.74e-05,-10.95903460463387,4.24,False,189.42857142857144,337.9047619047619,344.85714285714283,361.6190476190476
181,2,on,2,12.77914604367569,0.00813,-4.812194343122295,6.91,False,78.28571428571429,78.28571428571429,78.28571428571429,78.28571428571429
181,3,the,3,14.222246857765809,0.0537,-2.9243422756051207,7.73,False,117.04761904761904,126.1904761904762,132.47619047619048,172.57142857142858
181,4,door,4,9.608780865147382,0.00012,-9.028017981849242,5.08,False,102.47619047619048,104.76190476190476,104.76190476190476,132.28571428571428
181,5,so,2,12.285124092836677,0.00331,-5.710807059381685,6.52,False,39.90476190476191,44.47619047619048,44.47619047619048,52.095238095238095
181,6,hard,4,9.6614159913364,0.000339,-7.989510155598617,5.53,False,178.76190476190476,204.0952380952381,213.23809523809524,241.04761904761904
181,7,that,4,13.486557779225055,0.0102,-4.58536754888799,7.01,False,98.0952380952381,102.0952380952381,102.0952380952381,102.0952380952381
181,8,he,2,12.872611442080991,0.0049,-5.3185200534573935,6.69,False,49.80952380952381,52.19047619047619,52.19047619047619,52.19047619047619
181,9,almost,6,9.19593714166544,0.000245,-8.314251939256366,5.39,False,175.42857142857142,207.9047619047619,213.52380952380952,244.95238095238096
181,10,broke,5,8.585785982881848,7.08e-05,-9.55565014483622,4.85,False,158.1904761904762,179.23809523809524,182.7619047619048,204.57142857142856
181,11,it,2,13.77854777376974,0.00891,-4.720581026276075,6.95,False,62.85714285714285,79.33333333333333,79.33333333333333,118.38095238095238
181,12,down.,5,11.238541249462422,0.000759,-7.183508648816347,5.88,True,199.9047619047619,242.66666666666663,264.7619047619048,490.57142857142856
182,1,let,3,,0.000398,-7.829058301423586,5.6,False,132.38095238095238,176.38095238095238,176.38095238095238,183.52380952380952
182,2,Donald,6,6.771935555839602,2.88e-05,-10.45513169860618,4.46,False,183.7142857142857,228.1904761904762,258.57142857142856,336.57142857142856
