StimulusID,ContextLength,Region,RegionCleaned,RegionLength,SubtlexLogFreq,WordFreq,WordFreqLog,WordFreqZipf,PunctOrClitic,DwellTime,FirstFixationDuration,FirstPassDwellTime,FirstPassLandingPosition,SkipRate
en-universal-test.conllu 1279,10,for,for,3.0,5.54611185676681,0.0102,-4.585367558691911,7.01,False,274.40625,248.91666666666666,250.875,0.53875,0.34375
en-universal-test.conllu 1279,11,good,good,4.0,5.12423678404063,0.00132,-6.630123542383857,6.12,False,261.8125,197.64285714285714,212.25,0.7807142857142857,0.125
en-universal-test.conllu 1279,12,reason.,reason,6.0,3.99383286661399,0.000209,-8.473176305999463,5.32,True,46.15625,113.11111111111111,113.11111111111111,0.7922222222222222,0.71875
en-universal-test.conllu 1281,0,Most,most,4.0,4.25261034056737,0.001,-6.907755278982137,6.0,False,290.625,181.0625,206.5,0.325,0.03125
en-universal-test.conllu 1281,1,British,british,7.0,3.10856502373283,0.000151,-8.79823072114935,5.18,False,352.5625,202.41379310344828,228.79310344827587,0.8393103448275862,0.21875
en-universal-test.conllu 1281,2,programming,programming,11.0,2.20682587603185,2.34e-05,-10.662774535600619,4.37,False,440.96875,201.3125,263.78125,1.42375,0.0625
en-universal-test.conllu 1281,3,is,is,2.0,5.662440491974,0.0117,-4.448166437178426,7.07,False,106.5,195.0,195.0,0.43733333333333335,0.65625
en-universal-test.conllu 1281,4,more,more,4.0,4.82104819762939,0.00229,-6.079203461415989,6.36,False,416.1875,258.5625,264.53125,0.8065625,0.34375
en-universal-test.conllu 1281,5,of,of,2.0,5.77117577156368,0.0251,-3.684887432844399,7.4,False,126.8125,185.89473684210526,185.89473684210526,0.4626315789473684,0.75
en-universal-test.conllu 1281,6,an,an,2.0,4.97805263012357,0.00339,-5.686925357589778,6.53,False,150.125,204.57894736842104,204.57894736842104,0.3652631578947368,0.625
en-universal-test.conllu 1281,7,acquired,acquired,8.0,2.35983548233989,2.51e-05,-10.592642711826535,4.4,False,470.84375,220.3548387096774,314.4193548387097,0.7680645161290324,0.03125
en-universal-test.conllu 1281,8,taste.,taste,5.0,3.41796964221474,5.37e-05,-9.832097556449455,4.73,True,95.21875,203.1,203.1,0.42300000000000004,0.6875
en-universal-test.conllu 1330,0,The,the,3.0,6.1766436197553,0.0537,-2.9243422774673182,7.73,False,203.375,181.15625,191.84375,0.2815625,0.0
en-universal-test.conllu 1330,1,venture's,venture's,9.0,,5.37e-08,-16.73985283543159,1.73,True,418.625,203.93333333333334,295.53333333333336,1.4056666666666666,0.1875
en-universal-test.conllu 1330,2,importance,importance,10.0,2.59217675739587,3.63e-05,-10.223692816693468,4.56,False,522.75,232.53125,318.34375,1.1753125,0.0
en-universal-test.conllu 1330,3,for,for,3.0,5.54611185676681,0.0102,-4.585367558691911,7.01,False,72.03125,159.1818181818182,159.1818181818182,0.6936363636363637,0.78125
en-universal-test.conllu 1330,4,Thomson,thomson,7.0,,6.03e-06,-12.01876354722518,3.78,False,471.125,229.90625,360.34375,1.0096875,0.0
en-universal-test.conllu 1330,5,is,is,2.0,5.662440491974,0.0117,-4.448166437178426,7.07,False,83.375,196.33333333333334,231.66666666666666,0.3055555555555556,0.78125
en-universal-test.conllu 1330,6,great.,great,5.0,4.62185109554431,0.000759,-7.183508780568644,5.88,True,151.3125,218.31578947368422,227.26315789473685,0.47631578947368425,0.40625
en-universal-test.conllu 1356,0,The,the,3.0,6.1766436197553,0.0537,-2.9243422774673182,7.73,False,178.46875,179.2258064516129,182.48387096774192,0.2783870967741936,0.03125
en-universal-test.conllu 1356,1,system,system,6.0,3.66913084737333,0.000363,-7.921107723699423,5.56,False,295.5,197.28571428571428,200.67857142857142,1.102142857142857,0.21875
en-universal-test.conllu 1356,2,currently,currently,9.0,2.54654266347813,0.00012,-9.028018815182229,5.08,False,416.96875,217.09677419354838,259.61290322580646,1.1848387096774193,0.15625
en-universal-test.conllu 1356,3,has,has,3.0,4.76216070208618,0.00234,-6.057604349612527,6.37,False,217.28125,195.1153846153846,195.1153846153846,0.6223076923076923,0.3125
en-universal-test.conllu 1356,4,a,a,1.0,6.01752581716572,0.0229,-3.776618368421943,7.36,False,73.9375,178.25,178.25,0.31666666666666665,0.75
en-universal-test.conllu 1356,5,capacity,capacity,8.0,2.6170003411209,5.13e-05,-9.877819805787551,4.71,False,264.65625,179.78571428571428,210.5,1.0160714285714285,0.21875
en-universal-test.conllu 1356,6,of,of,2.0,5.77117577156368,0.0251,-3.684887432844399,7.4,False,44.125,201.71428571428572,201.71428571428572,0.6442857142857142,0.8125
en-universal-test.conllu 1356,7,1.55,NUM,3.0,1.46239799789896,4.46e-07,-14.622946884926348,2.65,True,403.625,246.17857142857142,268.0357142857143,0.7189285714285714,0.3125
en-universal-test.conllu 1356,8,million,million,7.0,3.78859255592036,0.000214,-8.449534542942423,5.33,False,489.625,239.46666666666667,297.9,0.9576666666666667,0.21875
